additives_n,ingredients_from_palm_oil_n,ingredients_that_may_be_from_palm_oil_n,energy_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g,carbon_footprint_100g,nutrition_score_fr_100g,nutrition_score_uk_100g
0,0,0,83,0.5,0,3,0.3,1.1,0.254,0.1,0,1,1
1,0,0,397,2.9,1.7,14,14,3,0.1016,0.04,193.4,4,4
1,0,0,55,0.1,0.1,7,5,5,0.127,0.05,198.7,-6,-6
0,0,0,330,4,2,6,6,4.5,0.1524,0.06,221.6,0,0
2,0,0,251,0.9,0.5,10,10,2.5,0.1016,0.04,136,1,1
2,0,0,1310,29,0,3.5,0,9.5,0,0,0,-2,-2
1,0,0,1366,0.1,0.1,80,78,0.1,0.254,0.1,130,21,15
4,1,2,2195,28,16,62,21,6.2,1.016,0.4,365,22,22
3,0,0,805,8,0.9,26,0.5,3,1.016,0.4,255,3,3
3,0,0,803,8,0.9,26,0.5,3,1,0.393700787401575,150,3,3
2,0,0,812,3.3,1.6,0.6,0.6,40,4.7752,1.88,2520,13,13
5,0,0,1143,23,13,1,0.5,16,1.524,0.6,840,19,19
0,0,0,150,0.1,0.1,4.5,4.5,4.3,0.127,0.05,220,-2,-2
2,0,0,1053,20,7.9,1.4,1.2,17,3.1,1.22047244094488,945,20,20
2,0,0,959,17,6.4,1.4,1.2,18,3.1,1.22047244094488,945,18,18
0,0,0,1479,0.7,0.1,78,0,7.5,0,0,13.8,0,0
1,0,0,1699,5.1,0.6,75,7.3,12,0,0,4.7,-4,-4
1,0,0,1628,4.9,0.7,72,6.9,11,1.4,0.551181102362205,4.5,6,6
4,1,0,2077,23,11,63,28,7,0.93,0.366141732283465,305,21,21
2,0,0,2130,28,17,53,49,7.5,0.0254,0.01,180,21,21
1,0,0,2110,30,18,51,47,7.8,0.01,0.00393700787401575,230,21,21
1,0,0,2238,31,19,57,55,6.9,0.254,0.1,655,24,24
0,0,0,134,0.1,0.1,4.7,4.7,3.2,0.13,0.0511811023622047,175,0,0
0,0,0,179,0,0,10,10,0.5,0.02,0.0078740157480315,130,3,-3
1,0,0,703,6.8,0.8,14,2.5,12,0.73,0.28740157480315,425,-1,-1
0,0,0,689,7.6,4.8,19,17,4.7,0.127,0.05,405,7,7
4,0,0,1463,11,4,54,15,7.5,1.18,0.464566929133858,290,13,13
0,0,0,2227,34,3.1,51,0.5,6,1.30048,0.512,5.8,14,14
1,0,0,2169,40,25,30,24,10.5,0.0254,0.01,320,16,16
1,0,0,1393,28,19,1,1,20,2,0.78740157480315,1065,17,22
0,0,0,1534,0.3,0.1,81,0,7.8,0.0254,0.01,545,-2,-2
0,0,0,1320,0,0,80,80,0.5,0,0,180,13,13
0,0,0,606,11,3.1,0.3,0.3,13,0.254,0.1,685,0,0
5,0,0,1502,12,3.6,53,19,8.5,1.016,0.4,325,13,13
0,0,0,1071,18,3.5,0,0,24,0.8128,0.32,370,4,4
0,0,0,750,12,3,1,1,17,0.8128,0.32,395,1,1
0,0,0,1259,23,4,0,0,24,0.8128,0.32,345,4,4
4,1,2,1516,18,9.4,44,2.9,6,1.2954,0.51,345,14,14
0,0,0,1074,18,3.5,0,0,24,0.8128,0.32,370,4,4
1,0,0,2324,37,3.1,48,1.1,5.8,1.6002,0.63,4.1,10,10
0,0,0,750,12,3,1,1,17,0.8128,0.32,395,1,1
0,0,0,903,0.6,0,47,0,4.8,0,0,14.4,0,0
4,1,0,1979,20,9.5,64,30,7,0.762,0.3,250,18,18
5,0,0,1195,25,9.9,1.9,1.6,14,1.6,0.62992125984252,835,18,18
0,0,0,3700,100,15,0,0,0,0,0,276,11,20
0,0,0,711,13,9.3,2.2,2.2,11,0.762,0.3,810,9,14
0,0,0,1660,32,20,0.1,0.1,28,0.508,0.2,1275,11,16
0,0,0,1485,1.5,0.1,72,2,12,0.03,0.0118110236220472,185,-4,-4
2,0,0,519,1.67,1.17,24,16,3.33,0.0847,0.0333,179,3,3
0,0,0,1523,1,0.1,80,0,8,0.0254,0.01,585,-2,-2
0,0,0,1499,1,0.1,78,0,8,0,0,14.3,0,0
5,0,0,1153,5.6,0.5,46,2.1,8.8,2.3622,0.93,365,11,11
2,0,0,2296,35,3.6,51,1.8,5.5,1.778,0.7,340,11,11
